# Geofeed Community Aggregation by MoeDove LLC
# Generated at: 2026-05-19T06:04:13.383914+00:00
# Total prefixes: 163

# AS200078 - Potat0 Network - Last change: Sun, 01 Feb 2026 06:16:27 GMT
2a13:b487:1101::/48,CN,CN-SH,Shanghai,
2a13:b487:1102::/48,CN,CN-SH,Shanghai,
2a13:b487:1103::/48,US,US-NV,Las Vegas,
2a13:b487:1104::/48,HK,CN-HK,Hong Kong,
2a13:b487:1105::/48,DE,DE-HE,Frankfurt,
2a13:b487:1106::/48,CN,CN-ZJ,Hangzhou,
2a13:b487:1107::/48,CN,CN-GD,Shenzhen,
2a13:b487:1109::/48,TW,TW-TPE,Taipei,
2a13:b487:1110::/48,AU,AU-NSW,Sydney,

# AS203309 - ChocoNet - Last change: Sat, 16 May 2026 07:20:11 GMT
2a0f:1cc5:110::/44,HK,,Kowloon,999077
2a0f:1cc5:130::/44,JP,JP-13,Tokyo,100-0001
2a0f:1cc5:140::/44,HK,,Kowloon,999077
2a0f:1cc5:150::/44,TW,TW-TPE,Taipei,10060
2a0f:1cc5:160::/44,NL,NL-NH,Amsterdam,1011AB

# AS209294 - FansNET - Last change: Mon, 18 May 2026 09:38:43 GMT
44.31.212.1/32,CN,CN-HB,Wuhan,
44.31.212.2/31,HK,,,
44.31.212.4/31,JP,JP-13,Tokyo,
44.31.212.6/31,JP,JP-13,Tokyo,
44.31.212.8/31,JP,JP-13,Tokyo,
44.31.212.10/31,US,US-MO,Kansas City,
44.31.212.14/31,HK,,,
44.31.212.16/31,NL,NL-NH,Amsterdam,
44.31.212.24/29,JP,JP-13,Tokyo,
44.31.212.128/25,JP,JP-13,Tokyo,
2a01:e281:a400::/48,CN,CN-HB,Wuhan,
2a01:e281:a410::/44,JP,JP-13,Tokyo,

# AS210352 - ZeroWolf Network - Last change: Mon, 18 May 2026 17:09:49 GMT
2a0f:1cc5:f00::/48,TW,TW-TPE,Taipei,
2a0f:1cc5:f01::/48,HK,,Hong Kong,
2a0f:1cc5:f02::/48,JP,JP-13,Tokyo,
2a0f:1cc5:f03::/48,GB,GB-LND,London,
2a0f:1cc5:f04::/48,HK,,Hong Kong,
2a0f:1cc5:f05::/48,HK,,Hong Kong,
2a0f:1cc5:f06::/48,US,US-UT,Salt Lake City,
2a0f:1cc5:f07::/48,HK,,Hong Kong,
2a0f:1cc5:f08::/48,NL,NL-NH,Amsterdam,
2a0f:1cc5:f09::/48,US,US-CA,San Jose,
2602:f92a:a47d::/48,TW,TW-TPE,Taipei,
2406:840:9178::/48,US,US-CA,San Jose,

# AS214955 - LaunchPad Network - Last change: Fri, 20 Mar 2026 13:45:04 GMT
2a0f:1cc5:2d01::/48,CH,,Bern,
2a0f:1cc5:2d03::/48,CA,CA-QC,Montreal,
2a14:7580:fffa::/48,CH,,Bern,
2a14:7583:f702::/48,CN,CN-ZJ,Ningbo,
2a14:7583:f703::/48,HK,,Hong Kong,
2a14:7583:f704::/48,US,US-NY,New York,
2a14:7583:f705::/48,US,US-CA,Los Angeles,
2a14:7583:f706::/48,CN,CN-SH,Shanghai,201201
2a14:7583:f709::/48,CN,CN-SH,Shanghai,201201
2a14:7583:f70a::/48,US,US-CA,Los Angeles,
2a14:7583:f70b::/48,HK,,Hong Kong,
2a14:7583:f70c::/48,HK,,Hong Kong,
2a14:7583:f743::/48,,,,
2a14:7583:f744::/48,,,,
2a14:7583:f764::/48,,,,

# AS214968 - Kansokusha EEN - Last change: Fri, 15 May 2026 10:11:28 GMT
44.30.89.0/24,JP,JP-13,Tokyo,113-0033
2a0f:1cc5:1e00::/48,JP,JP-13,Tokyo,113-0033
2a0f:1cc5:1e01::/48,JP,JP-13,Tokyo,113-0033

# AS402333 - Tianshome Network Services - Last change: Tue, 19 May 2026 06:04:13 GMT
2001:678:1184:8500::/56,HK,,Hong Kong (Chek Lap Kok),
2001:678:1184:8700::/56,MO,,Macau (Taipa),
2001:678:1184:4400::/56,GB,GB-ENG,London,E14 9SZ
2001:678:1184:4500::/56,DE,DE-HE,Frankfurt,D-60314
2001:678:1184:1400::/56,CA,CA-QC,Brossard,J4Y
2001:678:1184:1500::/56,CA,CA-QC,Westmont,H3Z
2001:678:1184:1300::/56,US,US-NY,Manhattan,10280
2001:678:1184:1900::/56,US,US-NY,Brooklyn,11213
2001:678:1184:1a00::/56,US,US-NY,Crown Heights,11213
2001:678:1184:1b00::/56,US,US-NY,Crown Heights (Brooklyn),11213
2001:678:1184:1c00::/56,US,US-NY,Battery Park City,10280
2001:678:1184:1d00::/56,US,US-NY,Battery Park City (Manhattan),10280
2001:678:1184:1e00::/56,US,US-NY,Financial District,10005
2001:678:1184:1f00::/56,US,US-NY,Financial District (Manhattan),10005
2001:678:1184:600::/56,SG,,Changi,819642
2001:678:1184:1700::/56,CA,CA-BC,Vancouver,V6T
2001:678:1184:8100::/56,JP,JP-13,Chiyoda City,102-0083
2001:678:1184:8800::/56,TW,TW-TAO,Taoyuan,321000
2001:678:1184:8600::/56,CN,CN-SH,Yangpu,200433
2001:678:1184:9700::/56,IL,IL-TA,Rosh HaAyin,4809139
2001:678:1184:f000::/56,NZ,NZ-AUK,Auckland,1050
2a0f:1cc5:1285::/48,HK,,Hong Kong (Chek Lap Kok),
2a0f:1cc5:1287::/48,MO,,Macau (Taipa),
2a0f:1cc5:1244::/48,GB,GB-ENG,London,E14 9SZ
2a0f:1cc5:1245::/48,DE,DE-HE,Frankfurt,D-60314
2a0f:1cc5:1214::/48,CA,CA-QC,Brossard,J4Y
2a0f:1cc5:1215::/48,CA,CA-QC,Westmont,H3Z
2a0f:1cc5:1213::/48,US,US-NY,Manhattan,10280
2a0f:1cc5:1219::/48,US,US-NY,Brooklyn,11213
2a0f:1cc5:121a::/48,US,US-NY,Crown Heights,11213
2a0f:1cc5:121b::/48,US,US-NY,Crown Heights (Brooklyn),11213
2a0f:1cc5:121c::/48,US,US-NY,Battery Park City,10280
2a0f:1cc5:121d::/48,US,US-NY,Battery Park City (Manhattan),10280
2a0f:1cc5:121e::/48,US,US-NY,Financial District,10005
2a0f:1cc5:121f::/48,US,US-NY,Financial District (Manhattan),10005
2a0f:1cc5:1260::/48,SG,,Changi,819642
2a0f:1cc5:1217::/48,CA,CA-BC,Vancouver,V6T
2a0f:1cc5:1281::/56,JP,JP-13,Chiyoda City,102-0083
2a0f:1cc5:1286::/48,CN,CN-SH,Yangpu,200433
2a0f:1cc5:1288::/48,TW,TW-TAO,Taoyuan,321000
2a0f:1cc5:1297::/48,IL,IL-TA,Rosh HaAyin,4809139
2a0f:1cc5:12f0::/48,NZ,NZ-AUK,Auckland,1050
2a14:67c3:770:8500::/56,HK,,Hong Kong (Chek Lap Kok),
2a14:67c3:770:8700::/56,MO,,Macau (Taipa),
2a14:67c3:770:4400::/56,GB,GB-ENG,London,E14 9SZ
2a14:67c3:770:4500::/56,DE,DE-HE,Frankfurt,D-60314
2a14:67c3:770:1400::/56,CA,CA-QC,Brossard,J4Y
2a14:67c3:770:1500::/56,CA,CA-QC,Westmont,H3Z
2a14:67c3:770:1300::/56,US,US-NY,Manhattan,10280
2a14:67c3:770:1a00::/56,US,US-NY,Crown Heights,11213
2a14:67c3:770:1b00::/56,US,US-NY,Crown Heights (Brooklyn),11213
2a14:67c3:770:1c00::/56,US,US-NY,Battery Park City,10280
